transaction_id,timestamp,user_id,card_number,amount,currency,txn_status,transaction_type,payment_channel,device_id,ip_address,current_latitude,current_longitude,current_country,merchant_id,merchant_category_code,merchant_category_desc,customer_risk_category,customer_kyc_status,customer_account_age_days
T0000001,2025-09-22T02:21:00Z,U0252,4189660648106727,76223.08,INR,DECLINED,CREDIT,CARD,DEV_7222,202.240.210.31,47.1477,-25.3064,SG,MER196703,5311,Department Stores,HIGH,MIN_KYC,1074
T0000002,2025-09-09T17:53:00Z,U0168,4807393562547902,76819.65,INR,APPROVED,CREDIT,CARD,DEV_5934,82.7.19.245,-62.5424,-37.8958,CA,MER359988,4111,Local Transportation,MEDIUM,MIN_KYC,391
T0000003,2025-09-26T07:27:00Z,U0100,4174521341271611,42187.06,INR,APPROVED,CREDIT,NETBANKING,DEV_6907,110.204.143.32,-70.0234,3.4878,US,MER748496,4814,Telecom Services,MEDIUM,MIN_KYC,64
T0000004,2025-09-29T13:27:00Z,U0290,4530763469838422,51240.63,INR,DECLINED,DEBIT,CARD,DEV_1450,130.117.16.152,-37.2109,-75.5286,CA,MER439633,6011,ATM,LOW,MIN_KYC,1129
T0000005,2025-09-27T18:47:00Z,U0291,4858562679563576,86273.91,INR,DECLINED,DEBIT,CARD,DEV_7748,129.112.33.174,55.1263,-135.2223,UK,MER595642,5311,Department Stores,MEDIUM,FULL_KYC,1048
T0000006,2025-09-12T20:30:00Z,U0134,4157457024685424,56308.19,INR,APPROVED,DEBIT,CARD,DEV_9276,24.242.121.38,-26.4415,148.411,UK,MER368353,6011,ATM,LOW,FULL_KYC,369
T0000007,2025-10-09T12:28:00Z,U0280,4120760306421296,72930.92,INR,APPROVED,DEBIT,CARD,DEV_6974,28.255.76.140,9.9215,168.2783,SG,MER543325,4111,Local Transportation,MEDIUM,FULL_KYC,144
T0000008,2025-09-06T05:38:00Z,U0127,4366878008623159,80014.37,INR,DECLINED,CREDIT,CARD,DEV_7166,18.47.193.173,-62.5744,50.4201,US,MER726524,5311,Department Stores,HIGH,MIN_KYC,226
T0000009,2025-09-03T13:58:00Z,U0006,4042197712689916,64119.14,INR,DECLINED,DEBIT,UPI,DEV_2496,109.119.136.98,-73.8053,-42.2724,SG,MER491263,4111,Local Transportation,MEDIUM,FULL_KYC,241
T0000010,2025-09-06T22:28:00Z,U0181,4600019194390498,23217.83,INR,APPROVED,DEBIT,UPI,DEV_6735,207.236.116.10,-61.2397,104.5856,AU,MER176774,6011,ATM,MEDIUM,FULL_KYC,993
T0000011,2025-08-16T06:56:00Z,U0019,4301350594762014,46825.74,INR,DECLINED,DEBIT,CARD,DEV_4275,116.107.20.68,21.6475,66.6495,AU,MER408741,5311,Department Stores,MEDIUM,MIN_KYC,483
T0000012,2025-09-08T19:05:00Z,U0107,4056462772924270,51207.38,INR,APPROVED,CREDIT,NETBANKING,DEV_3921,128.222.197.80,34.1106,-47.4505,UK,MER778237,4111,Local Transportation,LOW,FULL_KYC,664
T0000013,2025-10-26T09:36:00Z,U0014,4698110768354043,24955.86,INR,DECLINED,CREDIT,UPI,DEV_5232,236.200.76.129,14.9929,-29.2167,IN,MER504720,5411,Grocery Stores,LOW,MIN_KYC,655
T0000014,2025-09-02T02:51:00Z,U0129,4577843207903336,77608.01,INR,DECLINED,DEBIT,UPI,DEV_1885,93.54.141.55,-40.3066,54.0986,AE,MER539689,6011,ATM,MEDIUM,FULL_KYC,894
T0000015,2025-10-04T21:57:00Z,U0263,4116136139654251,58485.79,INR,DECLINED,CREDIT,NETBANKING,DEV_9995,71.234.29.43,64.2627,97.4309,AU,MER388169,4111,Local Transportation,LOW,FULL_KYC,1134
T0000016,2025-08-25T13:00:00Z,U0238,4953002910685157,32094.78,INR,DECLINED,CREDIT,CARD,DEV_7987,248.160.84.56,50.0059,-1.6323,AU,MER987471,5732,Electronics Stores,LOW,MIN_KYC,590
T0000017,2025-09-09T10:59:00Z,U0272,4674557146212883,34928.68,INR,APPROVED,DEBIT,UPI,DEV_3471,87.159.134.247,-71.1995,79.8139,AE,MER115728,5732,Electronics Stores,MEDIUM,MIN_KYC,381
T0000018,2025-10-11T08:58:00Z,U0065,4608633373557777,42254.8,INR,APPROVED,DEBIT,UPI,DEV_4760,81.60.172.89,65.2519,140.5713,CA,MER108754,4814,Telecom Services,HIGH,MIN_KYC,575
