transaction_id,timestamp,user_id,card_number,amount,currency,txn_status,transaction_type,payment_channel,device_id,ip_address,current_latitude,current_longitude,current_country,merchant_id,merchant_category_code,merchant_category_desc,customer_risk_category,customer_kyc_status,customer_account_age_days
T0000001,2025-11-20 00:00:00+00:00,U0861,4377782656729738,71768.62,INR,APPROVED,DEBIT,WALLET,DEV_1259,119.225.49.122,-7.6923,-142.5302,IN,MER968936,5999,Department Stores,MEDIUM,MIN_KYC,354
T0000002,2025-11-19 23:30:00+00:00,U1295,4024659002766305,94335.51,INR,DECLINED,DEBIT,WALLET,DEV_8551,70.163.16.13,-55.7823,-106.6207,US,MER146273,5732,Electronics,HIGH,FULL_KYC,1721
T0000003,2025-11-19 23:00:00+00:00,U1131,4873796573055515,52824.44,INR,APPROVED,CREDIT,CARD,DEV_5411,236.121.139.87,44.4545,-166.2842,US,MER876901,5411,Restaurants,MEDIUM,MIN_KYC,1495
T0000004,2025-11-19 22:30:00+00:00,U1096,4526411090693310,54048.92,INR,APPROVED,CREDIT,CARD,DEV_5841,130.252.94.19,42.8015,-127.8079,SG,MER712766,5732,Department Stores,HIGH,MIN_KYC,1707
T0000005,2025-11-19 22:00:00+00:00,U1639,4498329891050372,46157.25,INR,APPROVED,CREDIT,WALLET,DEV_8961,104.45.174.47,-45.9034,148.7456,IN,MER885048,5812,Electronics,LOW,MIN_KYC,1669
T0000006,2025-11-19 21:30:00+00:00,U2170,4473006651233940,32656.43,INR,APPROVED,CREDIT,CARD,DEV_1718,177.79.245.42,59.925,-100.0278,AE,MER453295,5411,Misc Retail,LOW,FULL_KYC,1160
T0000007,2025-11-19 21:00:00+00:00,U0467,4715831436670513,47617.94,INR,APPROVED,DEBIT,UPI,DEV_6196,161.108.169.119,20.4569,58.355,JP,MER595724,5311,Restaurants,LOW,FULL_KYC,591
T0000008,2025-11-19 20:30:00+00:00,U1239,4623989431826165,60320.47,INR,APPROVED,CREDIT,CARD,DEV_3727,197.86.219.111,-47.4657,68.9642,SG,MER752677,5999,Grocery,LOW,FULL_KYC,1767
T0000009,2025-11-19 20:00:00+00:00,U0331,4585423203010729,98600.56,INR,APPROVED,CREDIT,CARD,DEV_8546,227.19.39.135,27.367,52.3172,AE,MER841462,5411,Misc Retail,LOW,MIN_KYC,198
T0000010,2025-11-19 19:30:00+00:00,U1483,4226310158769829,93782.68,INR,DECLINED,CREDIT,CARD,DEV_9652,39.98.34.219,-47.9503,19.4116,US,MER929806,5812,Misc Retail,MEDIUM,FULL_KYC,1708
T0000011,2025-11-19 19:00:00+00:00,U2136,4342603115947021,86229.08,INR,APPROVED,DEBIT,CARD,DEV_3854,172.197.68.191,-42.2581,-4.9931,SG,MER810664,5732,Misc Retail,LOW,FULL_KYC,999
T0000012,2025-11-19 18:30:00+00:00,U2920,4060245288079647,88924.14,INR,APPROVED,CREDIT,WALLET,DEV_6200,199.48.3.213,62.6417,-28.8285,JP,MER414813,5812,Electronics,LOW,FULL_KYC,1377
T0000013,2025-11-19 18:00:00+00:00,U0131,4967067003287740,46838.13,INR,APPROVED,DEBIT,WALLET,DEV_5067,162.113.137.61,77.3085,150.0835,SG,MER660396,5311,Department Stores,LOW,FULL_KYC,840
T0000014,2025-11-19 17:30:00+00:00,U1686,4786775140748442,65778.69,INR,APPROVED,DEBIT,WALLET,DEV_3977,148.168.125.12,-43.7611,-176.5748,SG,MER842278,5999,Misc Retail,HIGH,FULL_KYC,846
T0000015,2025-11-19 17:00:00+00:00,U0770,4763296707222197,89517.17,INR,APPROVED,CREDIT,WALLET,DEV_4480,103.238.28.176,77.0492,-160.7437,US,MER763015,5999,Department Stores,MEDIUM,FULL_KYC,538
T0000016,2025-11-19 16:30:00+00:00,U2392,4271377981315959,39355.78,INR,APPROVED,DEBIT,UPI,DEV_9221,225.202.75.135,-47.0162,-2.6955,JP,MER864433,5311,Misc Retail,LOW,MIN_KYC,175
T0000017,2025-11-19 16:00:00+00:00,U1516,4767282700608586,96180.07,INR,APPROVED,CREDIT,UPI,DEV_4493,82.83.142.209,-68.8919,-61.0164,US,MER123652,5999,Electronics,LOW,MIN_KYC,878
T0000018,2025-11-19 15:30:00+00:00,U2854,4498803088949818,41637.03,INR,APPROVED,CREDIT,WALLET,DEV_1230,215.147.54.188,-79.5197,-33.0371,UK,MER144076,5411,Department Stores,MEDIUM,FULL_KYC,1148
T0000019,2025-11-19 15:00:00+00:00,U2434,4982958989658968,60148.16,INR,APPROVED,DEBIT,WALLET,DEV_8526,237.247.67.162,-46.4196,179.2255,JP,MER305207,5411,Grocery,HIGH,MIN_KYC,1045
T0000020,2025-11-19 14:30:00+00:00,U1216,4338546801931445,71009.49,INR,APPROVED,DEBIT,WALLET,DEV_6281,89.169.159.167,-20.6556,99.0485,US,MER970326,5311,Restaurants,LOW,MIN_KYC,1022
T0000021,2025-11-19 14:00:00+00:00,U0956,4362604996330389,95064.14,INR,APPROVED,DEBIT,CARD,DEV_2251,78.229.180.175,76.9587,135.8669,JP,MER609215,5311,Misc Retail,HIGH,FULL_KYC,438
T0000022,2025-11-19 13:30:00+00:00,U2325,4324711329264448,24537.17,INR,APPROVED,DEBIT,UPI,DEV_6340,20.96.225.180,-46.4116,-47.3132,US,MER168614,5812,Misc Retail,MEDIUM,FULL_KYC,1449
T0000023,2025-11-19 13:00:00+00:00,U1185,4277350993173318,74638.48,INR,APPROVED,CREDIT,UPI,DEV_7889,95.71.190.133,-24.2162,-93.7582,AE,MER395187,5999,Electronics,LOW,MIN_KYC,980
T0000024,2025-11-19 12:30:00+00:00,U0460,4640526529610343,52129.48,INR,APPROVED,DEBIT,CARD,DEV_2963,185.132.139.19,42.1481,96.4766,US,MER762252,5732,Restaurants,MEDIUM,MIN_KYC,844
T0000025,2025-11-19 12:00:00+00:00,U0022,4605648713215729,26928.86,INR,APPROVED,DEBIT,CARD,DEV_4166,102.212.27.29,-35.6267,110.7274,JP,MER377473,5311,Department Stores,LOW,MIN_KYC,1010
T0000026,2025-11-19 11:30:00+00:00,U2301,4663754781096656,77683.02,INR,APPROVED,DEBIT,CARD,DEV_2778,18.165.254.189,33.1863,17.9634,IN,MER274969,5812,Misc Retail,LOW,MIN_KYC,1006
T0000027,2025-11-19 11:00:00+00:00,U0748,4475388235016621,55267.01,INR,APPROVED,DEBIT,UPI,DEV_9052,244.175.245.252,-12.226,142.5389,AE,MER909362,5311,Grocery,LOW,MIN_KYC,1649
T0000028,2025-11-19 10:30:00+00:00,U2905,4935190734294449,66131.28,INR,APPROVED,CREDIT,CARD,DEV_5870,89.20.70.100,-54.6399,168.2371,JP,MER931853,5311,Grocery,LOW,MIN_KYC,634
T0000029,2025-11-19 10:00:00+00:00,U0475,4753799768969649,32357.82,INR,APPROVED,CREDIT,CARD,DEV_2147,177.143.18.38,42.1306,-10.4326,JP,MER581981,5411,Electronics,MEDIUM,MIN_KYC,96
T0000030,2025-11-19 09:30:00+00:00,U1083,4919668569419680,48179.27,INR,APPROVED,DEBIT,CARD,DEV_3847,120.89.84.150,-85.133,-99.84,JP,MER391853,5999,Misc Retail,LOW,MIN_KYC,740
T0000031,2025-11-19 09:00:00+00:00,U2559,4318266402872378,61773.69,INR,APPROVED,DEBIT,WALLET,DEV_4850,243.204.233.104,-37.3797,6.1607,UK,MER145983,5311,Electronics,HIGH,MIN_KYC,989
T0000032,2025-11-19 08:30:00+00:00,U2048,4372783640118567,40550.59,INR,APPROVED,CREDIT,CARD,DEV_4070,188.111.225.221,-25.8873,176.232,IN,MER523688,5999,Restaurants,LOW,FULL_KYC,1625
T0000033,2025-11-19 08:00:00+00:00,U2748,4286378479456787,19917.42,INR,APPROVED,CREDIT,WALLET,DEV_1620,194.26.64.254,-7.5207,-74.5463,UK,MER299523,5812,Grocery,MEDIUM,MIN_KYC,1918
T0000034,2025-11-19 07:30:00+00:00,U0976,4805795608639653,96167.89,INR,APPROVED,CREDIT,UPI,DEV_1963,249.224.58.131,32.3765,42.3358,SG,MER702800,5311,Grocery,HIGH,MIN_KYC,1271
T0000035,2025-11-19 07:00:00+00:00,U1807,4855981136780443,51195.61,INR,APPROVED,CREDIT,UPI,DEV_8215,30.19.10.89,-7.3071,69.8341,SG,MER497913,5732,Electronics,LOW,FULL_KYC,1265
T0000036,2025-11-19 06:30:00+00:00,U0190,4576934167371865,73418.64,INR,APPROVED,DEBIT,UPI,DEV_3142,174.147.127.186,16.9783,-102.9856,SG,MER635507,5411,Restaurants,MEDIUM,MIN_KYC,968
T0000037,2025-11-19 06:00:00+00:00,U2735,4585343404445708,41163.61,INR,APPROVED,DEBIT,WALLET,DEV_8418,124.107.85.6,17.2402,31.8453,US,MER711932,5732,Department Stores,MEDIUM,FULL_KYC,450
T0000038,2025-11-19 05:30:00+00:00,U0563,4083342055819073,35577.66,INR,APPROVED,CREDIT,CARD,DEV_2326,51.142.58.136,-22.8111,-66.7775,US,MER246959,5411,Restaurants,LOW,MIN_KYC,1213
T0000039,2025-11-19 05:00:00+00:00,U1900,4671959804502960,40775.71,INR,APPROVED,CREDIT,UPI,DEV_1121,2.246.18.249,78.1148,127.5155,AE,MER297342,5311,Electronics,HIGH,MIN_KYC,1536
T0000040,2025-11-19 04:30:00+00:00,U1268,4645300121237313,40978.74,INR,APPROVED,DEBIT,CARD,DEV_5313,214.185.222.228,82.0537,77.3113,IN,MER517431,5311,Electronics,MEDIUM,FULL_KYC,370
T0000041,2025-11-19 04:00:00+00:00,U2880,4790699521629621,54463.59,INR,APPROVED,DEBIT,WALLET,DEV_2076,92.163.194.56,14.7332,117.4559,IN,MER607293,5999,Restaurants,MEDIUM,FULL_KYC,209
T0000042,2025-11-19 03:30:00+00:00,U1529,4105308710759275,54392.64,INR,APPROVED,CREDIT,UPI,DEV_2182,228.210.43.73,-77.0956,-108.1143,JP,MER943911,5411,Electronics,HIGH,MIN_KYC,1618
T0000043,2025-11-19 03:00:00+00:00,U0647,4096377322721066,49765.67,INR,DECLINED,DEBIT,CARD,DEV_1794,220.72.117.8,-1.597,-167.5531,SG,MER984046,5812,Grocery,LOW,FULL_KYC,1926
T0000044,2025-11-19 02:30:00+00:00,U2069,4893446409697939,13565.1,INR,APPROVED,CREDIT,CARD,DEV_5271,5.13.7.21,-56.8045,126.1892,SG,MER413081,5732,Electronics,LOW,MIN_KYC,1307
T0000045,2025-11-19 02:00:00+00:00,U2889,4101185420260380,49657.94,INR,APPROVED,DEBIT,UPI,DEV_9483,221.37.173.180,-3.0214,-40.7685,JP,MER348689,5812,Department Stores,LOW,MIN_KYC,1049
T0000046,2025-11-19 01:30:00+00:00,U2215,4584518916996816,16993.48,INR,APPROVED,DEBIT,CARD,DEV_8326,253.176.62.206,-56.073,-115.2999,US,MER933673,5411,Grocery,LOW,FULL_KYC,1237
T0000047,2025-11-19 01:00:00+00:00,U1298,4653658014796115,12700.97,INR,DECLINED,CREDIT,WALLET,DEV_9682,101.119.179.132,36.6939,-146.9177,UK,MER981059,5812,Misc Retail,HIGH,FULL_KYC,869
T0000048,2025-11-19 00:30:00+00:00,U2436,4970264234727862,93271.31,INR,DECLINED,DEBIT,UPI,DEV_3808,120.86.184.75,-75.5228,5.9403,JP,MER146566,5411,Grocery,MEDIUM,FULL_KYC,415
T0000049,2025-11-19 00:00:00+00:00,U0601,4761479193191341,60534.51,INR,APPROVED,CREDIT,UPI,DEV_4428,34.45.144.137,81.5947,-125.9539,IN,MER976567,5999,Grocery,LOW,MIN_KYC,272
T0000050,2025-11-18 23:30:00+00:00,U2364,4900764579288810,65983.06,INR,DECLINED,DEBIT,UPI,DEV_9825,208.231.16.95,-54.8323,24.0091,IN,MER887696,5999,Grocery,MEDIUM,MIN_KYC,1997
T0000051,2025-11-18 23:00:00+00:00,U2062,4925816714642383,40239.19,INR,APPROVED,CREDIT,UPI,DEV_4499,159.141.128.5,28.9181,81.8304,UK,MER324903,5812,Restaurants,MEDIUM,FULL_KYC,1581
T0000052,2025-11-18 22:30:00+00:00,U0242,4382823217718202,90907.19,INR,APPROVED,CREDIT,WALLET,DEV_3172,123.127.175.167,75.0532,12.6209,IN,MER479392,5812,Misc Retail,HIGH,FULL_KYC,1912
T0000053,2025-11-18 22:00:00+00:00,U2042,4849848114271159,63829.26,INR,APPROVED,CREDIT,WALLET,DEV_6986,18.251.148.247,-45.3805,145.3319,IN,MER981653,5411,Department Stores,MEDIUM,MIN_KYC,1985
T0000054,2025-11-18 21:30:00+00:00,U2825,4378609461366015,76940.07,INR,APPROVED,DEBIT,CARD,DEV_4907,130.40.158.10,78.1734,-123.9949,US,MER810388,5999,Grocery,LOW,FULL_KYC,167
T0000055,2025-11-18 21:00:00+00:00,U2613,4516762412938312,36919.39,INR,APPROVED,CREDIT,WALLET,DEV_5699,64.42.203.181,-20.0386,-2.1767,IN,MER333070,5812,Restaurants,MEDIUM,MIN_KYC,1401
T0000056,2025-11-18 20:30:00+00:00,U2946,4839624018063538,96005.19,INR,APPROVED,CREDIT,CARD,DEV_8081,93.181.40.144,82.8955,-121.2514,SG,MER272489,5411,Electronics,LOW,MIN_KYC,622
T0000057,2025-11-18 20:00:00+00:00,U1364,4497982951866832,82064.08,INR,APPROVED,DEBIT,CARD,DEV_6224,176.125.61.220,84.8455,135.3247,SG,MER876189,5411,Misc Retail,LOW,FULL_KYC,1819
T0000058,2025-11-18 19:30:00+00:00,U2140,4201135908506846,85409.45,INR,APPROVED,DEBIT,UPI,DEV_4468,209.166.114.241,-56.1456,155.6061,AE,MER924862,5812,Department Stores,LOW,MIN_KYC,155
T0000059,2025-11-18 19:00:00+00:00,U1391,4805976128521422,17302.21,INR,DECLINED,CREDIT,CARD,DEV_6760,44.143.95.61,59.5957,-36.0015,US,MER356741,5732,Misc Retail,MEDIUM,FULL_KYC,1398
T0000060,2025-11-18 18:30:00+00:00,U1479,4679905245406068,27169.22,INR,APPROVED,CREDIT,UPI,DEV_1490,7.124.238.30,-55.1842,-69.9306,US,MER431852,5311,Department Stores,HIGH,MIN_KYC,1260
